"database_id","target_id","comparator_id","outcome_id","analysis_id","interaction_covariate_id","covariate_id","target_mean_before","comparator_mean_before","std_diff_before","target_mean_after","comparator_mean_after","std_diff_after"
"TMU_CRD",239,237,274,1,NA,9003,0.054,0.267,-0.606,0.158,0.126,0.092
"TMU_CRD",239,237,274,1,NA,1904,2.037,1.333,0.604,1.58,1.644,-0.06
"TMU_CRD",239,237,274,1,NA,8003,0.015,0.19,-0.603,0.053,0.049,0.017
"TMU_CRD",239,237,274,1,NA,1901,3.147,2.417,0.437,2.565,2.646,-0.058
"TMU_CRD",239,237,274,1,NA,1903,0.634,0.226,0.432,0.33,0.422,-0.106
"TMU_CRD",239,237,274,1,NA,7003,0.006,0.098,-0.421,0.023,0.032,-0.058
"TMU_CRD",239,237,274,1,NA,12003,0.202,0.066,0.406,0.096,0.13,-0.107
"TMU_CRD",239,237,274,1,NA,11003,0.2,0.067,0.398,0.105,0.147,-0.125
"TMU_CRD",239,237,274,1,NA,13003,0.158,0.05,0.356,0.09,0.113,-0.075
"TMU_CRD",239,237,274,1,NA,1902,0.661,0.244,0.34,0.333,0.414,-0.073
"TMU_CRD",239,237,274,1,NA,1308842403,0.09,0.02,0.309,0.038,0.041,-0.019
"TMU_CRD",239,237,274,1,NA,320128202,0.115,0.037,0.298,0.053,0.06,-0.033
"TMU_CRD",239,237,274,1,NA,1308842404,0.075,0.015,0.295,0.03,0.032,-0.011
"TMU_CRD",239,237,274,1,NA,320128203,0.104,0.031,0.293,0.043,0.047,-0.018
"TMU_CRD",239,237,274,1,NA,6003,-0.003,0.039,-0.266,-0.009,-0.009,-0.023
"TMU_CRD",239,237,274,1,NA,1545958403,0.074,0.019,0.26,0.024,0.047,-0.122
"TMU_CRD",239,237,274,1,NA,1503297402,0.071,0.018,0.26,0.028,0.036,-0.043
"TMU_CRD",239,237,274,1,NA,1503297403,0.069,0.017,0.258,0.026,0.036,-0.054
"TMU_CRD",239,237,274,1,NA,14003,0.087,0.028,0.257,0.051,0.056,-0.025
"TMU_CRD",239,237,274,1,NA,1545958402,0.078,0.024,0.249,0.026,0.053,-0.136
"TMU_CRD",239,237,274,1,NA,438720203,0.057,0.013,0.241,0.017,0.03,-0.087
"TMU_CRD",239,237,274,1,NA,438720202,0.059,0.015,0.237,0.017,0.032,-0.098
"TMU_CRD",239,237,274,1,NA,81250202,0.029,0.083,-0.236,0.053,0.047,0.026
"TMU_CRD",239,237,274,1,NA,1503297404,0.058,0.014,0.235,0.019,0.028,-0.062
"TMU_CRD",239,237,274,1,NA,81250203,0.029,0.083,-0.234,0.053,0.047,0.026
"TMU_CRD",239,237,274,1,NA,15003,0.062,0.017,0.234,0.028,0.03,-0.011
"TMU_CRD",239,237,274,1,NA,319034202,0.056,0.014,0.229,0.028,0.034,-0.033
"TMU_CRD",239,237,274,1,NA,320128204,0.077,0.027,0.228,0.036,0.04,-0.02
"TMU_CRD",239,237,274,1,NA,1112807402,0.067,0.021,0.227,0.021,0.032,-0.071
"TMU_CRD",239,237,274,1,NA,319034203,0.054,0.013,0.227,0.026,0.032,-0.034
"TMU_CRD",239,237,274,1,NA,78097202,0.035,0.004,0.226,0.009,-0.009,0.021
"TMU_CRD",239,237,274,1,NA,78097203,0.035,0.004,0.226,0.009,-0.009,0.021
"TMU_CRD",239,237,274,1,NA,78097204,0.035,0.004,0.226,0.009,-0.009,0.021
"TMU_CRD",239,237,274,1,NA,1332418403,0.076,0.027,0.226,0.045,0.043,0.009
"TMU_CRD",239,237,274,1,NA,1112807403,0.059,0.017,0.22,0.017,0.026,-0.065
"TMU_CRD",239,237,274,1,NA,1545958404,0.056,0.015,0.219,0.019,0.04,-0.123
"TMU_CRD",239,237,274,1,NA,81250204,0.027,0.075,-0.217,0.053,0.043,0.044
"TMU_CRD",239,237,274,1,NA,19011355402,0.046,0.011,0.215,0.015,0.019,-0.029
"TMU_CRD",239,237,274,1,NA,1786621403,0.051,0.106,-0.204,0.075,0.077,-0.007
"TMU_CRD",239,237,274,1,NA,201826203,0.033,0.006,0.202,-0.009,0.015,-0.071
"TMU_CRD",239,237,274,1,NA,201826202,0.035,0.006,0.201,-0.009,0.017,-0.086
"TMU_CRD",239,237,274,1,NA,1332418404,0.062,0.022,0.201,0.04,0.032,0.041
"TMU_CRD",239,237,274,1,NA,438720204,0.038,0.008,0.2,0.015,0.021,-0.043
"TMU_CRD",239,237,274,1,NA,1786621404,0.037,0.085,-0.2,0.062,0.06,0.008
"TMU_CRD",239,237,274,1,NA,1103314402,0.06,0.021,0.198,0.019,0.028,-0.062
"TMU_CRD",239,237,274,1,NA,1103314403,0.052,0.016,0.197,0.017,0.019,-0.014
"TMU_CRD",239,237,274,1,NA,1112807404,0.047,0.014,0.195,0.011,0.019,-0.062
"TMU_CRD",239,237,274,1,NA,1197736402,0.066,0.123,-0.195,0.092,0.1,-0.026
"TMU_CRD",239,237,274,1,NA,1338005403,0.044,0.012,0.192,0.011,0.015,-0.033
"TMU_CRD",239,237,274,1,NA,432867203,0.051,0.016,0.192,0.03,0.028,0.011
"TMU_CRD",239,237,274,1,NA,4193704202,0.063,0.024,0.191,0.03,0.055,-0.122
"TMU_CRD",239,237,274,1,NA,1338005402,0.047,0.014,0.191,0.011,0.015,-0.033
"TMU_CRD",239,237,274,1,NA,1338005404,0.039,0.01,0.19,-0.009,0.013,-0.056
"TMU_CRD",239,237,274,1,NA,319034204,0.038,0.01,0.187,0.021,0.023,-0.013
"TMU_CRD",239,237,274,1,NA,953076402,0.058,0.022,0.184,0.024,0.032,-0.045
"TMU_CRD",239,237,274,1,NA,4193704203,0.058,0.022,0.184,0.028,0.051,-0.116
"TMU_CRD",239,237,274,1,NA,938268402,0.063,0.026,0.184,0.028,0.026,0.012
"TMU_CRD",239,237,274,1,NA,1197736403,0.057,0.107,-0.183,0.081,0.085,-0.014
"TMU_CRD",239,237,274,1,NA,914335402,0.008,0.035,-0.183,0.013,0.021,-0.058
"TMU_CRD",239,237,274,1,NA,201826204,0.027,0.005,0.183,-0.009,0.011,-0.087
"TMU_CRD",239,237,274,1,NA,1510813403,0.025,0.003,0.182,-0.009,0.009,-0.044
"TMU_CRD",239,237,274,1,NA,1125315404,0.352,0.269,0.181,0.309,0.301,0.016
"TMU_CRD",239,237,274,1,NA,1125315403,0.378,0.293,0.18,0.316,0.313,0.008
"TMU_CRD",239,237,274,1,NA,989878402,0.072,0.125,-0.18,0.073,0.089,-0.055
"TMU_CRD",239,237,274,1,NA,1510813402,0.028,0.005,0.179,0.009,0.011,-0.019
"TMU_CRD",239,237,274,1,NA,432867202,0.059,0.024,0.178,0.036,0.04,-0.02
"TMU_CRD",239,237,274,1,NA,1197736404,0.047,0.092,-0.178,0.07,0.079,-0.036
"TMU_CRD",239,237,274,1,NA,938268403,0.054,0.02,0.176,0.024,0.021,0.025
"TMU_CRD",239,237,274,1,NA,953076403,0.044,0.015,0.175,0.024,0.021,0.025
"TMU_CRD",239,237,274,1,NA,989878403,0.06,0.108,-0.174,0.064,0.075,-0.044
"TMU_CRD",239,237,274,1,NA,989878404,0.045,0.088,-0.173,0.06,0.064,-0.016
"TMU_CRD",239,237,274,1,NA,1103314404,0.039,0.012,0.173,0.013,0.015,-0.016
"TMU_CRD",239,237,274,1,NA,914335404,0.006,0.028,-0.171,0.011,0.019,-0.062
"TMU_CRD",239,237,274,1,NA,914335403,0.008,0.031,-0.171,0.013,0.019,-0.045
"TMU_CRD",239,237,274,1,NA,200775202,0.003,0.022,-0.168,-0.009,0.011,-0.087
"TMU_CRD",239,237,274,1,NA,1125315402,0.39,0.31,0.167,0.324,0.335,-0.024
"TMU_CRD",239,237,274,1,NA,956874402,0.036,0.011,0.165,0.023,0.019,0.026
"TMU_CRD",239,237,274,1,NA,2009006,0.016,0.045,-0.165,0.032,0.04,-0.041
"TMU_CRD",239,237,274,1,NA,19011355404,0.019,-0.003,0.164,-0.009,-0.009,0.062
"TMU_CRD",239,237,274,1,NA,1786621402,0.076,0.125,-0.162,0.096,0.098,-0.006
"TMU_CRD",239,237,274,1,NA,953076404,0.027,0.006,0.162,0.015,0.011,0.033
"TMU_CRD",239,237,274,1,NA,1139042402,0.06,0.028,0.159,0.015,0.03,-0.102
"TMU_CRD",239,237,274,1,NA,19018544404,0.052,0.093,-0.159,0.064,0.073,-0.037
"TMU_CRD",239,237,274,1,NA,200775203,0.003,0.02,-0.158,-0.009,0.009,-0.07
"TMU_CRD",239,237,274,1,NA,19018544402,0.076,0.123,-0.157,0.077,0.096,-0.067
"TMU_CRD",239,237,274,1,NA,40239216402,0.023,0.005,0.157,-0.009,0.011,-0.117
"TMU_CRD",239,237,274,1,NA,442793202,0.02,0.003,0.155,-0.009,-0.009,-0.023
"TMU_CRD",239,237,274,1,NA,321318202,0.024,0.006,0.153,0.013,0.011,0.017
